,carat,cut,color,clarity,depth,table,price,x,y,z,volume,ratio_xy
40151,0.35,Ideal,E,VVS1,60.7,57.0,1116,4.57,4.53,2.76,57.137796,1.0088300220750552
8175,0.85,Ideal,E,SI1,61.6,57.0,4363,6.07,6.1,3.75,138.85125,0.9950819672131148
38421,0.3,Very Good,E,IF,60.1,60.0,1026,4.3,4.32,2.59,48.11184,0.9953703703703702
26997,1.93,Premium,H,VS1,60.5,60.0,17096,8.06,7.98,4.85,311.94618,1.0100250626566416
47413,0.57,Ideal,G,VS1,62.1,56.0,1851,5.3,5.33,3.3,93.22169999999998,0.9943714821763602
5921,1.02,Good,H,SI2,58.2,60.0,3940,6.49,6.57,3.8,162.02934000000002,0.9878234398782344
16442,1.06,Ideal,D,SI1,61.5,56.0,6565,6.58,6.55,4.04,174.11996,1.0045801526717557
5495,1.02,Good,D,SI2,58.9,65.0,3842,6.59,6.54,3.87,166.791582,1.007645259938838
51403,0.56,Ideal,D,VS1,61.6,57.0,2369,5.33,5.29,3.27,92.19993900000001,1.007561436672968
20434,1.51,Very Good,J,VVS2,60.6,58.0,8789,7.36,7.4,4.47,243.45408,0.9945945945945945
28230,0.33,Very Good,F,VS2,61.2,58.0,666,4.45,4.5,2.74,54.86850000000001,0.9888888888888889
47236,0.51,Very Good,E,VS1,59.6,56.0,1841,5.19,5.24,3.11,84.578316,0.9904580152671756
11926,1.15,Ideal,J,VS2,60.7,55.0,5125,6.77,6.83,4.13,190.967483,0.9912152269399707
32950,0.25,Ideal,F,VS2,62.2,54.0,460,4.03,4.07,2.52,41.333292,0.9901719901719902
15975,1.35,Ideal,J,SI1,62.3,57.0,6396,7.08,7.02,4.39,218.190024,1.0085470085470085
25852,1.5,Premium,F,VS1,62.6,58.0,14918,7.31,7.26,4.56,242.00193599999997,1.0068870523415978
6203,1.02,Good,I,SI1,64.2,53.0,3998,6.3,6.26,4.03,158.93514,1.0063897763578276
52664,0.71,Premium,I,VVS1,62.0,58.0,2549,5.65,5.7,3.52,113.36160000000002,0.9912280701754387
47999,0.31,Ideal,D,SI1,62.5,53.0,533,4.34,4.37,2.72,51.58697600000001,0.9931350114416475
21613,1.59,Premium,E,SI1,58.8,59.0,9705,7.69,7.61,4.5,263.34405000000004,1.0105124835742445
38509,0.5,Ideal,I,SI1,59.8,59.0,1031,5.18,5.15,3.09,82.43193,1.0058252427184464
31278,0.32,Premium,I,VS2,62.2,59.0,449,4.35,4.37,2.71,51.515744999999995,0.9954233409610983
17911,1.38,Premium,H,VS1,61.0,60.0,7233,7.21,7.16,4.38,226.111368,1.0069832402234637
33894,0.3,Premium,E,VS2,61.9,61.0,844,4.32,4.28,2.66,49.182336000000014,1.0093457943925235
25868,1.26,Premium,E,VVS1,59.8,59.0,14952,6.99,7.08,4.21,208.349532,0.9872881355932204
11790,1.03,Premium,F,SI1,58.6,62.0,5087,6.65,6.6,3.88,170.29319999999998,1.0075757575757578
9910,1.02,Premium,H,SI1,62.6,59.0,4688,6.43,6.38,4.01,164.50383399999998,1.0078369905956113
29663,0.35,Premium,G,VS1,62.3,59.0,706,4.49,4.53,2.81,57.154557000000004,0.9911699779249448
29537,0.4,Ideal,J,VVS1,62.4,54.0,704,4.73,4.75,2.96,66.5038,0.9957894736842107
48108,0.5,Ideal,G,VVS2,60.5,55.0,1935,5.15,5.13,3.11,82.16464500000001,1.003898635477583
15878,1.05,Ideal,G,VS2,61.7,56.0,6350,6.54,6.52,4.03,171.842424,1.0030674846625767
1249,0.71,Very Good,E,VS1,62.7,57.0,2946,5.69,5.73,3.58,116.72124600000001,0.9930191972076788
46901,0.56,Premium,D,SI1,59.9,60.0,1814,5.39,5.33,3.21,92.219127,1.0112570356472794
21592,1.51,Ideal,H,SI1,62.7,56.0,9694,7.32,7.38,4.61,249.039576,0.9918699186991871
52460,0.7,Fair,F,VS2,66.4,53.0,2516,5.51,5.49,3.65,110.41213499999999,1.0036429872495445
25742,1.51,Ideal,G,VS1,61.9,57.0,14674,7.37,7.34,4.55,246.13589,1.0040871934604905
7953,1.01,Good,H,SI1,60.3,64.0,4320,6.52,6.49,3.92,165.87401599999998,1.0046224961479198
22047,0.31,Good,I,VS1,63.7,55.0,628,4.33,4.3,2.75,51.20225,1.0069767441860467
22882,1.29,Ideal,F,VS1,62.3,54.0,10923,7.0,6.93,4.34,210.53339999999997,1.0101010101010102
7780,1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,176.0616,1.0363636363636364
15430,1.2,Very Good,H,VS1,62.0,57.0,6177,6.77,6.81,4.21,194.096577,0.9941262848751835
38494,0.42,Very Good,F,VS1,61.9,55.0,1031,4.78,4.82,2.97,68.42761200000001,0.991701244813278
18479,1.25,Very Good,H,VS2,63.3,57.0,7525,6.87,6.82,4.33,202.875222,1.0073313782991202
35061,0.35,Very Good,E,VS1,59.9,59.9,885,4.54,4.59,2.73,56.889378,0.9891067538126362
42822,0.51,Ideal,H,SI1,61.0,57.0,1354,5.17,5.22,3.17,85.55005799999999,0.9904214559386973
14930,1.04,Ideal,G,VS2,62.5,57.0,6012,6.45,6.54,4.06,171.26297999999997,0.9862385321100917
22058,1.74,Ideal,E,SI2,62.3,57.0,10085,7.8,7.7,4.83,290.0898,1.0129870129870129
32171,0.37,Premium,G,VVS2,62.2,58.0,787,4.56,4.6,2.85,59.78159999999999,0.9913043478260869
11111,1.08,Very Good,I,SI1,62.2,57.0,4933,6.57,6.54,4.08,175.308624,1.0045871559633028
9569,1.0,Good,I,VS1,59.6,61.0,4624,6.48,6.53,3.88,164.17987200000002,0.992343032159265
9581,1.08,Premium,G,SI2,62.9,59.0,4627,6.57,6.53,4.12,176.75665200000003,1.006125574272588
8444,1.01,Premium,F,SI1,61.9,58.0,4412,6.38,6.34,3.94,159.369848,1.0063091482649842
47397,0.54,Premium,D,VS1,60.5,58.0,1847,5.27,5.21,3.17,87.03773899999999,1.0115163147792705
21387,0.34,Very Good,I,VVS1,61.9,58.0,626,4.43,4.52,2.77,55.465371999999995,0.9800884955752213
17587,1.32,Ideal,F,SI1,61.6,56.0,7079,7.11,7.05,4.36,218.54718000000003,1.0085106382978724
41146,0.5,Good,G,SI1,62.5,64.0,1197,4.93,4.99,3.1,76.26217,0.9879759519038075
26758,2.02,Good,H,SI2,60.2,55.0,16565,8.08,8.19,4.9,324.25847999999996,0.9865689865689866
37886,0.42,Ideal,D,VS1,61.4,55.0,1006,4.8,4.9,2.98,70.0896,0.9795918367346937
18400,1.26,Very Good,H,SI1,62.5,56.0,7477,6.88,6.93,4.31,205.49390399999996,0.9927849927849928
39921,0.41,Ideal,D,VVS2,62.5,57.0,1105,4.72,4.75,2.96,66.36319999999999,0.9936842105263157
12083,1.22,Very Good,J,VS2,60.8,56.0,5160,6.95,6.91,4.21,202.18314500000002,1.0057887120115774
10503,1.02,Ideal,H,VVS2,60.9,57.0,4798,6.49,6.44,3.94,164.67466400000004,1.0077639751552794
979,0.81,Ideal,G,SI2,62.2,57.0,2894,5.96,6.0,3.72,133.0272,0.9933333333333333
3158,0.78,Very Good,E,VS2,61.7,58.0,3334,5.9,5.93,3.65,127.70255,0.9949409780775718
23532,1.63,Premium,I,VS1,61.1,57.0,11534,7.7,7.58,4.67,272.56922,1.0158311345646438
34853,0.3,Premium,G,VVS2,61.3,57.0,878,4.33,4.29,2.64,49.039848000000006,1.0093240093240092
34449,0.46,Ideal,G,SI2,62.2,53.0,864,4.95,4.98,3.09,76.17159000000001,0.9939759036144578
30872,0.33,Ideal,G,VS2,62.5,57.0,743,4.41,4.39,2.75,53.239725,1.0045558086560364
9344,1.03,Ideal,G,SI2,61.8,55.0,4582,6.46,6.51,4.01,168.638946,0.9923195084485408
30750,0.39,Ideal,H,VS1,61.9,57.0,740,4.71,4.76,2.93,65.689428,0.9894957983193278
26714,0.32,Premium,F,VS2,61.5,58.0,645,4.39,4.42,2.71,52.58429799999999,0.9932126696832578
14000,1.19,Premium,H,SI1,60.8,59.0,5698,6.87,6.84,4.17,195.951636,1.0043859649122808
20348,1.7,Ideal,I,SI2,60.7,59.0,8743,7.69,7.64,4.65,273.19494000000003,1.006544502617801
45129,0.62,Ideal,H,VS2,62.8,57.0,1652,5.43,5.4,3.4,99.6948,1.0055555555555555
47144,0.72,Ideal,J,SI1,62.7,56.0,1832,5.67,5.75,3.58,116.71695,0.9860869565217392
50963,0.7,Very Good,E,SI2,60.8,57.0,2324,5.66,5.72,3.46,112.018192,0.9895104895104896
5564,1.0,Premium,F,SI2,59.3,62.0,3858,6.49,6.43,3.83,159.82858099999999,1.0093312597200623
38367,0.43,Premium,D,SI1,62.4,60.0,1022,4.82,4.79,3.0,69.2634,1.0062630480167014
12307,1.09,Ideal,H,SI1,62.5,56.0,5219,6.58,6.53,4.1,176.16634,1.007656967840735
17735,1.51,Very Good,I,SI2,62.9,58.0,7139,7.24,7.3,4.57,241.53364,0.9917808219178083
38883,0.4,Ideal,D,VS2,62.8,57.0,1050,4.72,4.68,2.95,65.16431999999999,1.0085470085470085
33276,0.26,Ideal,H,VS1,62.2,55.0,462,4.06,4.11,2.54,42.383964,0.9878345498783453
20072,1.27,Premium,G,VS2,61.0,60.0,8549,6.93,6.97,4.24,204.800904,0.994261119081779
8978,1.01,Good,G,SI1,63.8,56.0,4504,6.32,6.37,4.05,163.04652,0.9921507064364208
11267,1.09,Ideal,G,SI1,62.2,56.0,4970,6.6,6.55,4.09,176.81069999999997,1.0076335877862594
5785,0.9,Good,H,VS2,64.1,56.0,3902,6.0,6.05,3.86,140.118,0.9917355371900827
1759,0.71,Very Good,F,VS1,62.2,55.0,3045,5.68,5.74,3.56,116.06739200000001,0.989547038327526
33753,0.31,Ideal,F,VVS1,61.0,56.0,840,4.39,4.43,2.69,52.31431299999999,0.9909706546275395
4805,0.9,Very Good,F,SI1,63.8,54.0,3699,6.09,6.13,3.9,145.59363,0.9934747145187602
15350,1.0,Good,E,VS2,57.4,58.0,6160,6.61,6.57,3.78,164.15670599999999,1.0060882800608828
19844,1.13,Ideal,E,VS2,62.0,54.0,8404,6.7,6.66,4.14,184.73507999999998,1.006006006006006
32376,0.45,Ideal,H,SI1,61.3,55.0,790,4.96,4.99,3.05,75.48872,0.9939879759519038
8800,1.03,Very Good,G,SI2,59.2,63.0,4473,6.55,6.6,3.89,168.16469999999998,0.9924242424242424
22118,1.53,Ideal,H,SI1,62.9,60.0,10145,7.36,7.28,4.61,247.00748800000002,1.010989010989011
33059,0.3,Ideal,F,VVS1,62.0,58.0,814,4.26,4.29,2.65,48.42980999999999,0.9930069930069929
10368,1.23,Premium,I,SI2,62.1,59.0,4773,6.83,6.79,4.23,196.16921100000002,1.0058910162002945
5826,0.92,Premium,H,VS2,59.6,59.0,3916,6.32,6.29,3.76,149.470528,1.0047694753577108
30757,0.25,Premium,E,VVS2,62.0,59.0,740,4.08,4.05,2.52,41.640480000000004,1.0074074074074075
37380,0.4,Ideal,G,VVS2,62.4,56.0,982,4.64,4.68,2.91,63.19123199999999,0.9914529914529915
46479,0.6,Very Good,D,SI1,60.3,58.0,1777,5.44,5.51,3.3,98.91551999999999,0.987295825771325
34115,0.31,Ideal,E,VVS1,59.7,60.0,853,4.41,4.43,2.64,51.575832000000005,0.9954853273137698
24941,2.03,Ideal,I,SI2,60.8,59.0,13398,8.12,8.2,4.96,330.25663999999995,0.9902439024390244
44990,0.31,Premium,J,VS1,60.7,60.0,523,4.39,4.34,2.65,50.48938999999999,1.0115207373271888
51864,0.74,Very Good,H,SI1,62.4,58.0,2426,5.71,5.76,3.58,117.74476800000001,0.9913194444444444
38906,0.33,Premium,E,VVS1,60.1,58.0,1052,4.51,4.47,2.7,54.431189999999994,1.0089485458612975
38013,0.44,Good,D,VS2,63.6,56.0,1009,4.81,4.84,3.07,71.47082799999998,0.993801652892562
16862,1.56,Ideal,J,SI1,61.8,57.0,6727,7.44,7.39,4.58,251.815728,1.006765899864682
52006,0.7,Premium,E,SI1,61.2,60.0,2444,5.71,5.69,3.49,113.389751,1.0035149384885764
47192,0.51,Premium,E,VS1,62.3,56.0,1837,5.14,5.13,3.2,84.37824,1.0019493177387915
15066,1.2,Premium,F,SI2,59.9,58.0,6055,6.96,6.9,4.15,199.29960000000003,1.008695652173913
53785,0.7,Ideal,E,SI1,61.1,56.0,2728,5.76,5.79,3.53,117.726912,0.9948186528497409
26276,2.17,Very Good,I,SI1,62.1,61.0,15760,8.24,8.27,5.13,349.582824,0.9963724304715841
28004,0.3,Premium,E,VS2,59.1,58.0,658,4.37,4.39,2.59,49.687337,0.9954441913439637
48682,0.53,Ideal,G,VVS1,60.8,56.0,2005,5.22,5.24,3.18,86.981904,0.9961832061068702
15661,1.0,Good,E,VS2,60.7,62.0,6279,6.33,6.46,3.88,158.66018400000002,0.9798761609907121
27392,1.54,Ideal,F,VS1,60.5,56.0,17949,7.52,7.49,4.54,255.71459199999998,1.0040053404539384
36277,0.3,Ideal,G,SI1,62.3,56.0,477,4.27,4.3,2.67,49.02386999999999,0.9930232558139535
18107,1.33,Ideal,I,VS2,62.6,55.0,7325,7.01,7.05,4.4,217.4502,0.9943262411347518
36586,0.33,Ideal,G,IF,61.9,55.0,946,4.44,4.45,2.75,54.334500000000006,0.9977528089887641
3163,0.7,Ideal,D,VS1,62.0,57.0,3335,5.69,5.76,3.55,116.34912,0.9878472222222223
20659,1.17,Ideal,G,VVS2,61.7,55.0,8947,6.74,6.77,4.17,190.276266,0.9955686853766619
31594,0.2,Premium,E,VS2,61.1,59.0,367,3.81,3.78,2.32,33.412175999999995,1.007936507936508
18122,1.23,Ideal,E,SI2,62.1,55.0,7336,6.91,6.84,4.27,201.818988,1.010233918128655
19441,1.06,Ideal,G,VS1,61.5,57.0,8093,6.54,6.56,4.03,172.89667200000002,0.9969512195121952
9424,1.01,Ideal,G,SI1,61.8,57.0,4588,6.41,6.46,3.98,164.806228,0.9922600619195047
18734,1.68,Premium,J,SI2,59.2,57.0,7652,7.83,7.72,4.6,278.05895999999996,1.0142487046632125
12515,1.01,Premium,H,VS2,61.6,59.0,5260,6.41,6.39,3.94,161.382006,1.0031298904538342
26065,1.65,Ideal,G,VS1,62.3,55.0,15281,7.56,7.6,4.72,271.19231999999994,0.9947368421052631
23137,2.01,Fair,E,SI2,65.5,56.0,11156,7.84,7.79,5.12,312.69683200000003,1.006418485237484
35811,0.31,Ideal,F,IF,61.1,57.0,914,4.37,4.4,2.68,51.531040000000004,0.9931818181818182
32762,0.34,Premium,D,SI1,59.7,59.0,803,4.57,4.54,2.72,56.43401600000001,1.0066079295154187
13858,1.0,Premium,D,SI1,60.3,60.0,5645,6.31,6.26,3.79,149.70727399999998,1.0079872204472844
7582,1.0,Very Good,F,SI2,61.6,62.0,4255,6.3,6.37,3.9,156.5109,0.9890109890109889
45218,0.51,Ideal,E,VS2,61.9,56.0,1656,5.12,5.16,3.18,84.013056,0.9922480620155039
12521,0.91,Ideal,F,VS2,62.6,55.0,5261,6.2,6.23,3.89,150.25514,0.9951845906902086
9980,1.02,Very Good,G,SI1,62.9,56.0,4704,6.36,6.4,4.01,163.22304000000003,0.99375
12492,1.08,Ideal,G,SI1,61.8,56.0,5256,6.55,6.58,4.06,174.98193999999998,0.9954407294832827
44250,0.51,Ideal,D,SI1,62.9,57.0,1574,5.12,5.09,3.21,83.655168,1.0058939096267192
29054,0.4,Good,E,SI1,63.2,58.0,687,4.66,4.7,2.96,64.82992,0.9914893617021276
21199,1.1,Ideal,F,VVS2,61.2,56.0,9343,6.71,6.64,4.08,181.78195200000002,1.010542168674699
22925,1.5,Very Good,F,SI1,63.4,58.0,10962,7.2,7.16,4.55,234.5616,1.005586592178771
50289,0.31,Very Good,G,VS1,62.7,54.0,542,4.35,4.36,2.73,51.77718,0.9977064220183485
8116,1.01,Ideal,G,SI2,62.1,57.0,4350,6.48,6.44,4.01,167.34211200000001,1.0062111801242235
7703,1.12,Premium,E,SI2,62.4,58.0,4277,6.59,6.64,4.13,180.718888,0.9924698795180723
4431,0.9,Very Good,G,SI1,63.8,53.0,3615,6.1,6.16,3.91,146.92216000000002,0.9902597402597402
1434,0.81,Very Good,E,SI1,59.5,60.0,2973,6.05,6.09,3.61,133.00864499999997,0.993431855500821
38921,0.33,Ideal,G,IF,61.3,57.0,1052,4.46,4.42,2.72,53.619904000000005,1.009049773755656
5763,1.01,Very Good,F,SI2,63.5,56.0,3897,6.38,6.35,4.04,163.67252,1.004724409448819
38222,0.41,Premium,F,VVS2,61.6,59.0,1017,4.79,4.73,2.93,66.38413100000001,1.0126849894291754
3112,0.81,Fair,G,VVS2,64.8,56.2,3323,5.82,5.98,3.82,132.94975200000002,0.9732441471571907
49311,0.4,Ideal,H,SI2,62.2,55.0,540,4.75,4.77,2.96,67.0662,0.9958071278825996
45667,0.53,Ideal,D,VS2,61.8,57.0,1694,5.17,5.21,3.21,86.46359700000001,0.9923224568138196
10871,1.11,Good,D,SI2,60.1,63.0,4877,6.68,6.7,4.02,179.91912,0.9970149253731343
52052,0.72,Good,I,VS1,61.3,63.0,2451,5.67,5.75,3.5,114.10875,0.9860869565217392
2882,1.18,Very Good,E,I1,59.9,63.0,3278,6.85,6.8,4.09,190.51219999999998,1.0073529411764706
2753,0.9,Good,H,SI2,63.6,60.0,3250,6.06,6.11,3.87,143.292942,0.9918166939443535
32838,0.44,Ideal,I,VS1,61.8,55.0,807,4.89,4.92,3.03,72.898164,0.9939024390243902
47059,0.61,Good,G,VS2,59.6,61.5,1821,5.47,5.52,3.27,98.73568799999998,0.9909420289855073
51122,0.71,Very Good,H,SI2,62.2,55.1,2339,5.7,5.72,3.55,115.74419999999999,0.9965034965034966
32275,0.3,Premium,G,VVS1,60.5,59.0,789,4.33,4.36,2.63,49.651244000000005,0.9931192660550459
23910,1.7,Very Good,E,SI2,63.3,57.0,12030,7.59,7.51,4.78,272.464302,1.0106524633821572
46476,0.53,Ideal,E,VS2,62.8,57.0,1776,5.19,5.16,3.25,87.03630000000001,1.005813953488372
1905,1.0,Very Good,E,I1,62.3,58.0,3080,6.33,6.38,3.96,159.92618399999998,0.9921630094043887
11642,0.88,Very Good,F,VVS2,62.0,59.0,5052,6.09,6.13,3.79,141.487143,0.9934747145187602
17591,1.29,Ideal,G,VS2,62.9,57.0,7080,6.91,6.89,4.34,206.62696599999998,1.002902757619739
7774,1.5,Fair,J,I1,68.8,57.0,4284,6.94,6.87,4.75,226.46955000000003,1.01018922852984
40438,0.36,Ideal,F,IF,61.4,55.9,1138,4.58,4.62,2.82,59.670072,0.9913419913419913
30668,0.39,Good,I,VS1,63.1,58.0,737,4.68,4.61,2.93,63.214164000000004,1.0151843817787418
30870,0.33,Premium,G,VS2,62.1,56.0,743,4.44,4.41,2.75,53.8461,1.0068027210884354
28953,0.31,Good,H,SI1,63.6,57.0,435,4.28,4.31,2.73,50.359764,0.9930394431554526
13361,0.24,Very Good,F,VS2,62.4,58.0,419,3.98,4.0,2.49,39.640800000000006,0.995
49537,0.71,Good,F,SI1,64.3,57.0,2125,5.62,5.55,3.59,111.97568999999999,1.0126126126126127
34052,0.42,Ideal,J,VS1,60.9,57.0,851,4.86,4.83,2.95,69.24771000000001,1.0062111801242237
20835,1.01,Very Good,G,IF,61.1,56.0,9063,6.45,6.48,3.95,165.09420000000003,0.9953703703703703
43752,0.58,Very Good,D,SI2,62.9,56.0,1438,5.31,5.35,3.35,95.16847499999999,0.9925233644859813
50097,0.62,Ideal,I,VVS1,61.1,55.0,2207,5.52,5.57,3.39,104.230296,0.9910233393177736
13556,0.9,Fair,E,VVS2,58.1,59.0,5551,6.21,6.26,3.62,140.726052,0.9920127795527157
49607,0.74,Very Good,H,SI2,63.1,55.0,2138,5.72,5.78,3.63,120.01360799999999,0.9896193771626297
7331,0.91,Very Good,G,VS1,63.2,58.0,4209,6.15,6.07,3.86,144.09573,1.013179571663921
8488,1.01,Very Good,I,SI1,62.1,59.0,4418,6.36,6.42,3.97,162.09986400000003,0.9906542056074767
25461,3.01,Premium,G,SI2,59.8,58.0,14220,9.44,9.37,5.62,497.1047359999999,1.007470651013874
26580,2.0,Good,I,VS2,63.6,60.0,16291,7.95,8.03,5.08,324.29958,0.9900373599003737
28263,0.25,Ideal,H,SI1,62.8,54.0,357,4.05,4.07,2.55,42.032925,0.9950859950859949
17576,1.02,Ideal,G,VS1,61.1,56.0,7077,6.51,6.54,3.99,169.87584600000002,0.9954128440366972
27345,2.0,Good,G,VS2,64.1,55.0,17898,7.94,7.88,5.07,317.215704,1.0076142131979695
22191,1.51,Very Good,H,VS2,62.8,58.0,10225,7.21,7.28,4.55,238.82404000000002,0.9903846153846153
122,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,122.40668000000001,0.9948542024013721
17720,0.5,Fair,F,I1,68.4,54.0,613,4.94,4.82,3.35,79.76618000000002,1.0248962655601659
50466,0.71,Ideal,I,VS2,63.1,57.0,2265,5.66,5.71,3.59,116.023774,0.9912434325744308
16013,1.01,Very Good,G,VS2,63.4,55.0,6406,6.35,6.4,4.04,164.1856,0.9921874999999999
42587,0.35,Ideal,D,VVS1,60.8,55.0,1330,4.58,4.6,2.79,58.77972,0.9956521739130436
11058,0.4,Ideal,H,SI2,61.9,58.0,596,4.71,4.73,2.92,65.052636,0.9957716701902748
7220,1.1,Very Good,I,SI2,62.6,59.0,4192,6.53,6.57,4.1,175.89861,0.9939117199391172
964,0.71,Ideal,E,VS2,62.7,56.0,2891,5.71,5.75,3.59,117.86867500000001,0.9930434782608696
35611,0.3,Ideal,H,VS2,60.7,57.0,473,4.33,4.37,2.64,49.954344000000006,0.9908466819221968
2850,1.1,Premium,I,SI2,59.3,62.0,3271,6.75,6.7,3.99,180.44775,1.007462686567164
1148,0.72,Very Good,E,VS2,63.2,58.0,2923,5.67,5.72,3.6,116.75664,0.9912587412587412
49172,0.7,Very Good,H,VS2,62.2,56.0,2074,5.69,5.75,3.56,116.4743,0.9895652173913044
39862,0.38,Ideal,F,VVS1,62.0,54.7,1101,4.62,4.67,2.88,62.137152,0.9892933618843683
49846,0.74,Very Good,J,VS1,62.7,58.0,2170,5.75,5.8,3.62,120.727,0.9913793103448276
18357,1.0,Good,G,VVS1,58.4,60.0,7467,6.55,6.61,3.84,166.25472000000002,0.9909228441754916
51361,0.72,Fair,D,SI1,65.6,60.0,2364,5.62,5.54,3.66,113.95336800000001,1.0144404332129964
13392,0.38,Ideal,G,SI2,61.2,56.0,602,4.7,4.74,2.89,64.38342000000002,0.9915611814345991
6894,0.9,Ideal,G,VS2,62.7,56.0,4133,6.25,6.15,3.89,149.521875,1.0162601626016259
1252,0.77,Ideal,I,SI1,61.5,56.0,2946,5.9,5.93,3.64,127.35268,0.9949409780775718
5285,1.0,Good,F,SI2,64.1,58.0,3799,6.35,6.26,4.04,160.59403999999998,1.0143769968051117
39127,0.41,Ideal,G,VS2,61.4,54.0,1061,4.84,4.77,2.95,68.10606,1.0146750524109016
35184,0.31,Ideal,G,IF,61.7,55.0,891,4.36,4.39,2.7,51.67908,0.9931662870159454
38278,0.21,Premium,D,VS2,60.6,60.0,386,3.85,3.81,2.32,34.030919999999995,1.010498687664042
40332,0.5,Very Good,E,SI1,61.4,63.0,1128,5.06,5.1,3.12,80.51472,0.9921568627450981
13217,1.2,Good,I,SI1,64.4,61.0,5458,6.52,6.59,4.22,181.319896,0.9893778452200304
48957,0.7,Very Good,H,SI1,63.3,58.0,2048,5.61,5.64,3.56,112.639824,0.9946808510638299
50153,0.71,Premium,E,SI2,62.1,62.0,2215,5.7,5.67,3.53,114.08607,1.0052910052910053
3483,0.79,Very Good,F,VS1,58.6,57.0,3398,6.08,6.14,3.58,133.645696,0.9902280130293161
48286,0.53,Ideal,E,VS2,60.8,56.0,1956,5.28,5.25,3.21,88.9812,1.0057142857142858
53708,0.72,Premium,D,SI1,61.8,58.0,2718,5.81,5.75,3.57,119.26477499999999,1.0104347826086957
14689,1.29,Ideal,H,SI2,62.1,57.0,5926,6.95,6.93,4.31,207.58468499999998,1.002886002886003
46867,0.53,Ideal,G,VS1,61.9,56.0,1813,5.2,5.17,3.21,86.29764,1.0058027079303675
51366,0.71,Ideal,F,SI2,62.1,54.0,2365,5.73,5.76,3.57,117.82713600000001,0.9947916666666667
25435,1.55,Ideal,F,VS2,62.6,57.0,14185,7.35,7.39,4.61,250.399065,0.9945872801082544
25821,1.21,Premium,D,VVS2,61.1,59.0,14841,6.9,6.89,4.21,200.14761,1.0014513788098696
19121,1.0,Premium,E,VS1,61.4,59.0,7885,6.44,6.42,3.95,163.31196,1.003115264797508
32531,0.35,Very Good,G,VVS2,62.2,58.0,798,4.49,4.54,2.81,57.28072600000001,0.9889867841409692
17112,1.01,Very Good,F,VS1,59.9,59.0,6825,6.52,6.57,3.92,167.91868799999997,0.9923896499238964
34200,0.33,Ideal,F,VS2,62.3,55.0,854,4.47,4.42,2.77,54.72799799999999,1.01131221719457
34322,0.36,Premium,E,VVS2,61.7,59.0,859,4.52,4.56,2.8,57.711359999999985,0.9912280701754386
4414,0.92,Ideal,I,SI1,62.1,55.0,3610,6.24,6.29,3.89,152.680944,0.9920508744038156
32109,0.36,Ideal,E,VS1,60.9,57.0,782,4.6,4.63,2.81,59.847379999999994,0.9935205183585313
25507,2.21,Premium,H,SI2,61.3,60.0,14299,8.35,8.33,5.11,355.428605,1.0024009603841537
35951,0.3,Ideal,F,SI1,61.4,55.0,475,4.34,4.36,2.67,50.522808,0.9954128440366972
21021,1.34,Ideal,G,VS2,61.9,56.0,9233,7.05,7.1,4.38,219.24089999999998,0.9929577464788732
27227,1.03,Ideal,D,IF,62.0,56.0,17590,6.55,6.44,4.03,169.99346000000003,1.0170807453416149
11013,1.01,Ideal,D,SI2,61.6,57.0,4916,6.42,6.46,3.97,164.648604,0.9938080495356038
19971,1.5,Good,D,SI2,63.8,58.0,8518,7.2,7.16,4.58,236.10816,1.005586592178771
8734,0.9,Ideal,G,VS1,61.6,55.0,4460,6.27,6.23,3.85,150.389085,1.0064205457463884
3454,0.7,Premium,E,VVS2,61.0,59.0,3389,5.64,5.71,3.5,112.7154,0.9877408056042031
2631,0.74,Premium,E,VS2,62.7,58.0,3228,5.77,5.72,3.6,118.81584,1.0087412587412588
52311,0.23,Very Good,D,VVS2,58.9,60.0,549,4.03,3.95,2.35,37.408475,1.0202531645569621
6657,0.9,Ideal,I,VS1,61.3,55.0,4093,6.21,6.25,3.82,148.26375,0.9936
27063,2.01,Premium,E,SI2,58.9,60.0,17179,8.24,8.2,4.84,327.02912,1.0048780487804878
5807,1.02,Good,D,SI2,57.5,62.0,3909,6.62,6.6,3.8,166.0296,1.0030303030303032
23312,1.5,Very Good,D,SI1,63.4,58.0,11352,7.16,7.25,4.57,237.22870000000003,0.9875862068965517
28836,0.41,Premium,D,SI2,62.0,58.0,683,4.74,4.78,2.95,66.83874000000002,0.9916317991631799
46180,0.5,Premium,E,VS2,62.9,59.0,1746,5.09,5.06,3.19,82.15972599999999,1.0059288537549407
10251,1.0,Premium,F,SI2,61.4,61.0,4749,6.47,6.4,3.95,163.5616,1.0109374999999998
13151,1.08,Ideal,G,SI1,61.7,56.0,5439,6.6,6.63,4.08,178.53264,0.995475113122172
37892,0.46,Very Good,F,SI1,63.1,56.0,1006,4.9,4.87,3.08,73.49804000000002,1.0061601642710474
49216,0.54,Ideal,G,VVS1,62.2,56.0,2080,5.19,5.22,3.24,87.777432,0.9942528735632186
38557,0.31,Ideal,D,VVS2,62.0,56.0,1034,4.35,4.37,2.7,51.32565,0.9954233409610983
53751,0.72,Ideal,G,VS1,62.7,55.0,2724,5.71,5.68,3.57,115.785096,1.005281690140845
19011,1.12,Premium,G,VS1,62.2,59.0,7827,6.61,6.58,4.1,178.32458,1.0045592705167175
